Name: train_vector_field,, 
Batch Size: 32,, 
Learning Rate: 0.0005,, 
Num Epochs: 500,, 
LR scheduler: True,, 
N Sensors: 150,, 
N Masks: 20,, 
N Examples: [500, 100, 100],, 
Size: 96,, 
Seed: 1,, 
Device: cuda,, 
epoch,train_error,val_error 
263, 0.06700933, 0.24822807 
264, 0.08193758, 0.27018889 
265, 0.08405774, 0.24926398 
266, 0.07682289, 0.23997220 
267, 0.06793186, 0.25141617 
268, 0.06192634, 0.23886568 
269, 0.06694594, 0.27165485 
270, 0.06455325, 0.24032051 
271, 0.05754911, 0.23816313 
272, 0.07114538, 0.24226266 
273, 0.07344359, 0.23870905 
274, 0.06451038, 0.25839129 
275, 0.14884346, 0.23894546 
276, 0.08672695, 0.23665928 
277, 0.07076960, 0.24002569 
278, 0.06432855, 0.24321629 
279, 0.06183465, 0.27870407 
280, 0.06648551, 0.24111722 
281, 0.06575797, 0.23929250 
282, 0.06348105, 0.23361596 
283, 0.07046367, 0.25547454 
284, 0.07327553, 0.24464218 
285, 0.06586035, 0.26092358 
286, 0.07321409, 0.26968814 
287, 0.06761052, 0.25276753 
288, 0.06764421, 0.24230096 
289, 0.06396704, 0.23718762 
290, 0.06730768, 0.25781396 
291, 0.07082404, 0.26917422 
292, 0.06856044, 0.25020846 
293, 0.07008296, 0.28692857 
294, 0.06611099, 0.24345606 
295, 0.06099165, 0.25387682 
296, 0.05749073, 0.23153585 
297, 0.06012221, 0.24480008 
298, 0.06083320, 0.23779584 
299, 0.06824869, 0.23729658 
300, 0.05741289, 0.23315602 
301, 0.06256396, 0.25435768 
302, 0.06161546, 0.23219056 
303, 0.05760634, 0.22746013 
304, 0.05579113, 0.22317395 
305, 0.05708952, 0.23247591 
306, 0.05868173, 0.23800582 
307, 0.05666379, 0.24358472 
308, 0.05724251, 0.25894899 
309, 0.05873832, 0.23144789 
310, 0.05523214, 0.23693867 
311, 0.05457547, 0.23950724 
312, 0.05480438, 0.22801892 
313, 0.05820443, 0.27475780 
314, 0.05470397, 0.24664222 
315, 0.05365503, 0.22756277 
316, 0.06193498, 0.24344651 
317, 0.05913967, 0.25307271 
318, 0.05881077, 0.24538883 
319, 0.05680160, 0.22934100 
320, 0.05481444, 0.24005955 
321, 0.05541592, 0.25314190 
322, 0.05658380, 0.24599341 
323, 0.05540084, 0.24202186 
324, 0.05445331, 0.23496579 
325, 0.05550066, 0.24938349 
326, 0.05488774, 0.23181899 
327, 0.05816104, 0.23067912 
328, 0.05605191, 0.23370257 
329, 0.05678479, 0.23291316 
330, 0.05226892, 0.23644154 
331, 0.05398256, 0.22386629 
332, 0.05401520, 0.24444890 
333, 0.05400275, 0.23652540 
334, 0.05343074, 0.25550597 
335, 0.05807562, 0.23749507 
336, 0.05317532, 0.24633544 
337, 0.05066704, 0.24225721 
338, 0.05363752, 0.23837100 
339, 0.05212638, 0.25015783 
340, 0.05020933, 0.24156551 
341, 0.05157446, 0.22518218 
342, 0.05149639, 0.23614996 
343, 0.05281942, 0.23254793 
344, 0.04905237, 0.24862077 
345, 0.04998979, 0.22927842 
346, 0.04923117, 0.23883658 
347, 0.05120811, 0.21449467 
348, 0.05134925, 0.23389199 
349, 0.04986007, 0.23663349 
350, 0.05185454, 0.23854911 
351, 0.05008041, 0.23525015 
352, 0.04881875, 0.23264577 
353, 0.04958120, 0.22128972 
354, 0.04931166, 0.22376185 
355, 0.04954423, 0.25029447 
356, 0.04847190, 0.24054474 
357, 0.04872381, 0.23043480 
358, 0.05000417, 0.24022586 
359, 0.05015623, 0.23506109 
360, 0.05095980, 0.23201970 
361, 0.05456675, 0.23898852 
362, 0.04953348, 0.24659630 
363, 0.04843761, 0.24833538 
364, 0.05110711, 0.24002607 
365, 0.04936127, 0.23306651 
366, 0.04928398, 0.23555436 
367, 0.04999898, 0.24242096 
368, 0.04957591, 0.23969502 
369, 0.04988121, 0.23500040 
370, 0.04747419, 0.22679725 
371, 0.04708034, 0.24268160 
372, 0.04766653, 0.24284109 
373, 0.04767238, 0.23689411 
374, 0.04863687, 0.23799585 
375, 0.04803238, 0.22292674 
376, 0.04847503, 0.23434542 
377, 0.04823648, 0.22782227 
378, 0.04758835, 0.23187610 
379, 0.04769209, 0.23710171 
380, 0.04646470, 0.22026184 
381, 0.04729923, 0.23698132 
382, 0.04660712, 0.22897699 
383, 0.04664112, 0.24470967 
384, 0.04613352, 0.23752628 
385, 0.04665657, 0.23611556 
386, 0.04721102, 0.22978926 
387, 0.04711911, 0.23293967 
388, 0.04624951, 0.25012652 
389, 0.04674255, 0.23228546 
390, 0.04696383, 0.22096219 
391, 0.04606405, 0.24275281 
392, 0.04663259, 0.22638763 
393, 0.04690419, 0.22078629 
394, 0.04660266, 0.22888139 
395, 0.04640940, 0.23813451 
396, 0.04687690, 0.22758958 
397, 0.04602966, 0.22488375 
398, 0.04656183, 0.22996865 
399, 0.04557236, 0.22382724 
400, 0.04634149, 0.23104430 
401, 0.04692452, 0.23860115 
402, 0.04597811, 0.22640218 
403, 0.04596893, 0.21680127 
404, 0.04570993, 0.22846044 
405, 0.04573330, 0.23706691 
406, 0.04535544, 0.23336428 
407, 0.04527451, 0.23740491 
408, 0.04509386, 0.23035041 
409, 0.04547617, 0.22536387 
410, 0.04548022, 0.23591503 
411, 0.04521791, 0.23412036 
412, 0.04530962, 0.23160615 
413, 0.04536680, 0.23036108 
414, 0.04536923, 0.22125747 
415, 0.04599912, 0.21992574 
416, 0.04533256, 0.22928279 
417, 0.04511425, 0.22907314 
418, 0.04487694, 0.21913542 
419, 0.04462580, 0.22767178 
420, 0.04473900, 0.22607962 
421, 0.04523498, 0.22617989 
422, 0.04575382, 0.23720252 
423, 0.04579755, 0.24212674 
424, 0.04630439, 0.23613383 
425, 0.04557243, 0.23228842 
426, 0.04546660, 0.23316145 
427, 0.04470398, 0.21688277 
428, 0.04452227, 0.23053280 
429, 0.04461772, 0.22546166 
430, 0.04446131, 0.22407953 
431, 0.04434623, 0.22974140 
432, 0.04419587, 0.23019261 
433, 0.04446192, 0.22941673 
434, 0.04439934, 0.22279549 
435, 0.04424227, 0.22392797 
436, 0.04439494, 0.22968765 
437, 0.04492163, 0.23158788 
438, 0.04464212, 0.22446826 
439, 0.04421646, 0.22992461 
440, 0.04410989, 0.23042291 
441, 0.04422527, 0.23092653 
442, 0.04411767, 0.22650058 
443, 0.04400849, 0.23908541 
444, 0.04394835, 0.23051451 
445, 0.04425120, 0.22377421 
446, 0.04460426, 0.21861776 
447, 0.04412051, 0.23681279 
448, 0.04376039, 0.22498334 
449, 0.04411735, 0.22476060 
450, 0.04387929, 0.21658662 
451, 0.04383568, 0.21945278 
452, 0.04384272, 0.22526963 
453, 0.04425322, 0.22270018 
454, 0.04395808, 0.23228629 
455, 0.04393247, 0.22433547 
456, 0.04398998, 0.22574097 
457, 0.04381029, 0.22757896 
458, 0.04399996, 0.21891259 
459, 0.04391718, 0.22928376 
460, 0.04398314, 0.22080986 
461, 0.04367453, 0.22480762 
462, 0.04354682, 0.23102531 
463, 0.04378961, 0.23187987 
464, 0.04364202, 0.22772367 
465, 0.04356500, 0.22296991 
466, 0.04374122, 0.22560123 
467, 0.04379707, 0.23603144 
468, 0.04377152, 0.21925469 
469, 0.04362408, 0.22338719 
470, 0.04345919, 0.24441949 
471, 0.04369959, 0.23703652 
472, 0.04373873, 0.23257603 
473, 0.04363208, 0.23026401 
474, 0.04348661, 0.23137631 
475, 0.04371173, 0.22202789 
476, 0.04351682, 0.21478434 
477, 0.04348745, 0.21766993 
478, 0.04364375, 0.22498643 
479, 0.04341374, 0.23453195 
480, 0.04339238, 0.23203490 
481, 0.04355560, 0.22771341 
482, 0.04359063, 0.22660594 
483, 0.04345401, 0.23644156 
484, 0.04348106, 0.22332538 
485, 0.04341345, 0.23463124 
486, 0.04336800, 0.22223612 
487, 0.04353800, 0.21764004 
488, 0.04352028, 0.23081975 
489, 0.04353160, 0.23754218 
490, 0.04336088, 0.22979872 
491, 0.04339916, 0.22063082 
492, 0.04350411, 0.21610363 
493, 0.04341811, 0.22583100 
494, 0.04331722, 0.21431855 
495, 0.04341360, 0.22939143 
496, 0.04318582, 0.23345082 
497, 0.04363042, 0.23410945 
498, 0.04352844, 0.21890274 
499, 0.04344836, 0.22826771 
